Time,PRECIP,PET_Pristley-Taylor(mm),runoff,srad(W/m2),tmax(C),tmin(C),vp(Pa)
1980-3-7,0,1.693631145,0.9911,445.63,12.69,-0.56,593.2
1980-3-8,1,1.781809872,0.9628,294.35,15.12,7,999.9
1980-3-9,0,1.777836682,0.9345,367.71,13.47,2.5,720
1980-3-10,4.98,1.769833571,0.9061,321.35,12.5,-2.63,509.68
1980-3-11,5,1.635176569,1.2459,279.38,10,-1,560
1980-3-12,0,1.260573233,1.1327,304.76,3.48,-4.34,440
1980-3-13,21,1.318098763,1.2459,199.11,4.95,-1.65,548.04
1980-3-14,11.68,1.321346211,3.6246,164.59,5.81,0.59,636.2
1980-3-15,0,1.636177699,3.1432,358.54,8.82,-0.52,598.42
1980-3-16,0,1.709756567,2.1521,413.97,9,-2.84,493.12
1980-3-17,5.08,2.004906082,1.8123,279.86,13.88,3.76,800
1980-3-18,15.42,1.994835005,2.4919,272.47,13.5,3.86,800
1980-3-19,0,1.993542709,2.4069,443.28,12,-1.59,553.16
1980-3-20,0,2.154476016,1.9255,406.18,14.46,3.08,766.21
1980-3-21,24.12,2.063701826,2.3503,254.12,14.11,5.75,920
1980-3-22,6.01,1.716684777,3.6246,250.32,8.46,0.77,640
1980-3-23,0,2.17352628,2.86,456.25,13,-0.5,600
1980-3-24,18.69,1.967579079,2.322,299.12,10.54,0.5,639.77
1980-3-25,18.65,1.48627514,4.0493,131.63,8,4.35,827.79
1980-3-26,0,1.945419718,4.1909,397.94,9.66,0,600
1980-3-27,0,2.130718493,3.0299,426.27,11.5,0.5,640
1980-3-28,2.44,2.068866824,2.4636,396.2,10.08,-1.5,560
1980-3-29,22.87,1.680664346,2.8317,143.97,10,6.02,921.52
1980-3-30,0.13,2.048419222,4.1343,275.09,12.95,7,1000
1980-3-31,15.09,1.886827014,3.6812,249.26,8.72,1.55,683.64
1980-4-1,9.06,2.202721997,4.3608,321.78,11,0.48,638.42
1980-4-2,0,2.671233658,3.8228,495.1,15.48,0.5,639.6
1980-4-3,0,2.708097339,3.2848,475.19,15.95,2.71,738.14
1980-4-4,25.81,2.694644399,3.5962,285.65,17.55,8.5,1120
1980-4-5,0,2.6058707,4.3608,407.77,15.5,5.71,920
1980-4-6,0,3.059849387,3.5113,508.71,18.44,2.35,720
1980-4-7,0,2.749827765,2.9166,436.45,15.99,5,880
1980-4-8,0,2.862242314,2.4636,379.31,18.47,9.5,1200
1980-4-9,25.24,2.157076396,2.7184,147.48,15.49,11.5,1360
1980-4-10,28.79,3.075872668,5.2953,290.46,20.5,11.5,1360
1980-4-11,0,3.199075756,4.7006,463.87,19.53,7.5,1039.88
1980-4-12,0,3.259574493,3.8228,485.32,19.33,6,920
1980-4-13,0,2.966428905,3.0582,335.67,19.76,12.19,1415.04
1980-4-14,7.87,2.881177708,2.7184,292.12,16.96,8.09,1087.5
1980-4-15,11.97,2.832162387,3.0299,264.9,17.5,10,1240
1980-4-16,0,2.491067825,2.8034,382.73,12.09,3.94,800
1980-4-17,0,2.810878114,2.4919,531.72,12.5,-2.57,514.72
1980-4-18,0,3.280160795,2.2087,533.97,17.04,1.06,645.1
1980-4-19,0,3.445736077,2.1238,509.06,18.92,4.67,853.31
1980-4-20,0,3.679008606,1.9822,508.38,20.9,6.22,937.59
1980-4-21,0,3.699508825,1.8689,495.14,21.09,7.14,1011.53
1980-4-22,0,3.577680327,1.8123,528.45,18.98,3,760
1980-4-23,0,3.775520657,1.7556,534.62,20.45,3.45,789.14
1980-4-24,0,3.699870509,1.7273,483.93,20.46,6.91,992.9
1980-4-25,4.07,3.749915913,1.8406,321.26,22.04,10.83,1306.61
1980-4-26,6.59,2.763457332,1.8689,218.15,15.32,8.86,1148.5
1980-4-27,7.91,2.141490856,2.1521,127.14,12.46,9,1160
1980-4-28,10.73,2.951952806,2.7751,238.67,16.44,9.38,1190.36
1980-4-29,7.53,2.835179683,3.1149,228.24,15.33,8.67,1133.65
1980-4-30,17.54,2.15434175,2.9733,129.73,12,8.5,1120
1980-5-1,12.4,2.575980255,4.1626,191.73,13.8,8.5,1120.36
1980-5-2,0,3.620597517,4.3325,449.15,19.35,8.5,1120
1980-5-3,0,4.51449372,3.5113,535.89,24.87,8,1080
1980-5-4,0,4.356726798,2.8034,471.25,24.98,12.26,1421.02
1980-5-5,0,5.106730125,2.3503,542.07,29,9.79,1223.42
1980-5-6,0,5.055521774,2.0671,496.03,29.47,14.15,1612.19
1980-5-7,0,4.307303277,1.8972,451.62,24.43,12.5,1440
1980-5-8,1.7,3.389596032,1.8406,377.73,17.55,8.73,1138.7
1980-5-9,0,3.469989574,1.8123,455.14,16.25,5,880.4
1980-5-10,0,4.069543175,1.7273,529.11,19.86,4.29,822.86
1980-5-11,0,3.665413376,1.6707,358.86,20.46,11.97,1397.88
1980-5-12,3.3,4.56785954,1.6424,333.92,25.92,13.92,1593.99
1980-5-13,2.82,5.134298428,1.8689,372.94,29.5,15.58,1766.09
1980-5-14,0,4.793279813,1.7273,456.39,27,14.11,1608.74
1980-5-15,0,4.305085676,1.5857,485.78,22,8.41,1112.5
1980-5-16,0,4.239693904,1.5291,519.87,20.47,5,880
1980-5-17,0,4.528061845,1.2459,512.18,22.89,7.5,1040
1980-5-18,17.02,3.346677802,1.6141,191.58,19.94,14,1600
1980-5-19,0,4.549972147,2.1238,396.86,26.15,15.79,1783.48
1980-5-20,2,3.591772788,1.5291,282.7,21.5,15,1720
1980-5-21,7,2.726745921,1.9822,132.45,17.39,13.69,1574.89
1980-5-22,0,5.16928446,1.8689,519.72,27.51,11.74,1379.6
1980-5-23,0,5.310890585,1.699,490.41,29.29,15,1720.25
1980-5-24,0,4.811034104,1.5291,417.56,27.66,17,1920
1980-5-25,0,4.773045165,1.4442,435.86,26.7,15.54,1763.01
1980-5-26,0,4.683000868,1.3309,497.32,23.99,10.42,1273.9
1980-5-27,0,4.589355793,1.2459,515.34,22.52,7.87,1069.83
1980-5-28,0,4.822448724,1.161,502.84,24.5,10,1240
1980-5-29,0,4.642015964,1.1327,437.36,24.66,13,1480
1980-5-30,0,4.343135938,1.1044,387.61,23.42,13.5,1560
1980-5-31,2.04,4.688009751,1.076,388.04,26,15.5,1760
1980-6-1,0,5.331259878,1.076,421.41,30,17.77,2042.46
1980-6-2,0,5.082830364,0.9911,356.73,30.31,20.5,2400
1980-6-3,0,5.555898078,0.9628,425.1,31.5,19,2200
1980-6-4,0,4.826057331,0.9345,434.13,25.88,14.24,1619.22
1980-6-5,0,4.667507641,0.9061,440.8,24.44,12.86,1469.12
1980-6-6,0.13,4.643846001,0.8778,478.56,23.13,10.13,1250.44
1980-6-7,10.32,5.413699825,0.9061,338.99,29.63,16.56,1884.42
1980-6-8,17.85,5.357857412,1.8406,356.33,28.5,14.52,1643.41
1980-6-9,0,4.75627804,2.0105,511.8,22.97,8.15,1091.78
1980-6-10,1.86,4.090029171,1.5291,362.13,20.88,11.49,1359.51
1980-6-11,0,4.294684997,1.3592,462.16,20.39,8.28,1102.63
1980-6-12,0,4.583826272,1.1893,516.89,21.38,6.49,958.86
1980-6-13,0,4.865558037,1.076,519.32,23.47,8,1080
1980-6-14,0,5.070180701,1.0194,529.88,24.72,8.2,1096.17
1980-6-15,0,5.460558012,1.1327,450.35,29.67,16.5,1880
1980-6-16,32.7,4.56260437,4.6723,303.09,24.21,13.82,1585.28
1980-6-17,0,4.589735224,5.5218,460.17,22.68,10.22,1257.59
1980-6-18,0,4.318583654,2.6335,415.36,21.65,11,1320
1980-6-19,0,4.66011552,1.9255,483.82,22.52,8.82,1145.22
1980-6-20,0,4.423224736,1.5857,390.57,23,12.72,1457.3
1980-6-21,0,4.801007281,1.3309,398.05,26,15.21,1736.82
1980-6-22,0,5.204841571,1.161,468.98,27.12,13.33,1532.67
1980-6-23,0,5.444241827,1.076,481.63,28.5,13.67,1573.9
1980-6-24,0,5.372935442,0.9628,442.94,29,15.86,1788.74
1980-6-25,0,4.850767855,0.9345,365.98,27.46,17.5,2000
1980-6-26,0,4.310960638,0.9061,332.68,24.25,15.78,1782.44
1980-6-27,0,5.686717586,0.9061,443.94,31.44,18,2080
1980-6-28,8.39,5.001968425,0.8495,287.03,28.35,17.88,2061.21
1980-6-29,23.71,5.103291778,0.9628,288.55,29.08,18.41,2112.55
1980-6-30,18.78,4.772446674,1.8972,267.64,27.5,18,2080
1980-7-1,0,4.99109545,1.6141,445,26.5,14,1600.36
1980-7-2,0,5.034454725,1.2459,390,28.51,17.74,2038.45
1980-7-3,8.91,4.052704893,1.1893,175.09,26.92,21,2480
1980-7-4,0,4.764490839,1.3309,330.59,28.78,20.06,2330.02
1980-7-5,0,4.839986709,1.161,366.1,28.19,18.5,2120.06
1980-7-6,0,4.641662402,0.9911,352.07,27.23,18.18,2094.1
1980-7-7,0,5.002416407,0.9061,484.29,26.08,12.21,1416.63
1980-7-8,0,4.574585515,0.8495,376.67,26.03,16.45,1871.75
1980-7-9,0,4.990007042,0.8495,407.64,28.5,17.61,2017.93
1980-7-10,12.67,4.423778867,1.0194,224.42,27.98,20.5,2400
1980-7-11,0,4.805133462,1.4725,353.93,29.13,20,2320
1980-7-12,0,5.107798498,1.2459,389.87,30.4,20.01,2325.37
1980-7-13,0,5.075831196,1.0194,476.55,27.64,14.35,1629.55
1980-7-14,0,5.542601683,0.8495,503.36,30.41,14.99,1671.69
1980-7-15,0,5.206284085,0.7646,448.48,29.64,17.24,1956.13
1980-7-16,0,5.59828743,0.7079,430.72,32.98,20.5,2399.72
1980-7-17,6.57,5.344212569,0.7646,302.28,32.18,21,2480
1980-7-18,0,5.219628241,0.9628,411.87,31.1,19.79,2303.41
1980-7-19,0,5.372529012,0.9061,439.43,31.49,19,2198.37
1980-7-20,0,5.838530566,0.7646,427.98,35,21.99,2633.59
1980-7-21,0,5.76929037,0.6796,414.91,35,22.5,2720
1980-7-22,28.65,5.544376502,0.7362,323.57,33.17,20.46,2394.19
1980-7-23,16.37,3.871794174,1.8689,199.72,26.05,19.81,2304.89
1980-7-24,0,4.489479333,2.0105,378.46,27.37,18,2080
1980-7-25,0,5.261502232,1.2743,491.75,30,15.22,1737.37
1980-7-26,0,5.036139221,0.9911,418.52,30.5,19,2200
1980-7-27,0,4.733970129,0.8778,383.56,29.47,19.48,2276.82
1980-7-28,0,4.342642552,0.7646,325.43,28.5,20.46,2392.83
1980-7-29,9.37,4.619188849,0.7646,263.82,30,21,2480
1980-7-30,0,4.734624603,0.7646,382.12,30,20,2320
1980-7-31,0,4.940795538,0.6796,406.3,31,19.98,2318.81
1980-8-1,3.31,5.30017726,0.6513,322.93,33.35,21.24,2516.75
1980-8-2,0,5.091064475,0.5663,398.25,32.5,21.24,2518.45
1980-8-3,4.58,5.258822652,0.5097,305.91,33.5,21.51,2562.29
1980-8-4,0,4.991854877,0.5097,385.06,32.39,21.5,2560
1980-8-5,0,4.913550549,0.5097,369.32,32.43,22.05,2647.46
1980-8-6,3.97,5.016902255,0.6513,293.54,32.72,21.5,2560
1980-8-7,0,5.013214484,0.7079,413.61,32.17,20.09,2334.37
1980-8-8,0,5.170592876,0.5097,420.79,33.26,20.51,2401.11
1980-8-9,0,4.8278752,0.4814,334.9,33.46,23.87,2969.98
1980-8-10,0,4.380243656,0.3964,336.71,30,20.92,2467.56
1980-8-11,5.59,4.596969611,0.4531,271.24,31.12,21,2480
1980-8-12,22.43,4.322286371,0.7646,251.91,30,21,2480
1980-8-13,0,4.434787987,0.9911,405.88,29,17.79,2046.65
1980-8-14,0,4.544609081,0.7362,427.92,29.5,17.24,1958.2
1980-8-15,0.03,3.820194776,0.623,277.54,28.5,21.5,2560
1980-8-16,0,3.786472954,0.5663,370.17,24.99,15.73,1778.14
1980-8-17,0,4.159956481,0.5097,469.03,25.88,12.34,1427.17
1980-8-18,0,3.23646149,0.4531,278.99,22.99,16.5,1880
1980-8-19,6.87,3.195343246,0.4531,176.47,25,19.53,2282.45
1980-8-20,0,3.938674639,0.4531,373.08,27.5,18,2080
1980-8-21,0,3.384776554,0.4531,324.83,23.91,16.36,1856.84
1980-8-22,0,3.083243905,0.4531,266.83,23.01,17,1920
1980-8-23,0,4.114201636,0.4248,453.84,27.5,14.5,1640
1980-8-24,0,4.376587284,0.3681,475.56,29.5,14.5,1640
1980-8-25,0,4.382766696,0.3115,463.62,30.05,15.5,1760
1980-8-26,0,4.556414441,0.2322,449.96,32,17.49,1998.22
1980-8-27,0,4.647510247,0.2095,434.81,33.25,19,2200
1980-8-28,0,4.600117562,0.1784,416.32,33.49,20,2320
1980-8-29,0,3.798717509,0.1784,316.91,29.7,21,2480
1980-8-30,0,3.96876389,0.1671,366.24,30,19.5,2280
1980-8-31,0,3.956220543,0.1671,340.28,30.92,21.19,2511.04
1980-9-1,0,4.173057354,0.0538,354.99,32.64,22,2640
1980-9-2,0,4.281264438,0.0396,362.1,33.58,22.36,2697.46
1980-9-3,0,4.000954679,0.0368,380.95,30.99,19.5,2280
1980-9-4,0,3.88059824,0.0396,429.37,29.04,15.38,1750.46
1980-9-5,2.99,3.367859509,0.0595,230.9,27.59,19.28,2245.32
1980-9-6,0,3.582660811,0.1784,338.27,29.1,19.5,2280
1980-9-7,0,3.784552052,0.1416,411.27,29.5,16.56,1885.17
1980-9-8,0,3.59687819,0.0934,435.06,27.5,13.4,1543.68
1980-9-9,0,3.570769211,0.0566,436.84,27.52,13,1480
1980-9-10,1,3.320249905,0.0481,371.68,26.54,15.51,1760.52
1980-9-11,0,3.337823214,0.0651,446.14,25.64,10.36,1268.73
1980-9-12,0,3.529807596,0.0425,446.25,28.08,11.79,1383.59
1980-9-13,0,3.386699637,0.0368,411.32,27.37,13.5,1560
1980-9-14,0,3.375495573,0.0425,325.6,29.29,18.98,2196.22
1980-9-15,0,3.007128062,0.0906,304.58,26.13,17,1920
1980-9-16,0,2.886012476,0.1671,353.41,23.88,13.16,1505.5
1980-9-17,0,3.190205682,0.1076,371.32,27.35,15,1720.25
1980-9-18,9.56,2.908545702,0.3681,225.23,26,16.72,1897.3
1980-9-19,0,2.940043184,0.3681,395.26,24.86,11.19,1335.23
1980-9-20,0,2.929967919,0.2577,367.25,25.5,13,1481.31
1980-9-21,0,3.118570608,0.1869,311.91,29,18.26,2100.83
1980-9-22,0,3.438031452,0.2209,322.22,32.5,20.55,2407.73
1980-9-23,0,3.152076881,0.2095,294.79,30.52,20.2,2351.75
1980-9-24,0,2.633004842,0.1501,309.69,24.49,14.48,1638.07
1980-9-25,33.16,2.048861543,0.3964,130.33,20.96,15.93,1794.32
1980-9-26,3.8,2.538416869,0.9628,275.31,23.76,13.01,1481.7
1980-9-27,0,2.282514875,0.5663,401.86,19.81,5.57,920
1980-9-28,0,2.427658998,0.3681,414.29,22.49,6.23,938.67
1980-9-29,0,2.376862924,0.3115,346.63,22.56,10.65,1292.25
1980-9-30,0,2.314938262,0.3115,289.92,23,13.5,1560
1980-10-1,0,2.090707083,0.4531,201.58,22.51,16.23,1836.76
1980-10-2,0,2.227682568,0.4531,234.52,24,16.5,1880
1980-10-3,11.94,1.943344852,0.4248,172.1,20,13,1480
1980-10-4,0,1.957832331,0.7646,311.51,19,9,1160
1980-10-5,0,1.878822135,0.623,320.95,18,7.5,1040
1980-10-6,0,1.887570703,0.538,336.54,18.5,7,1000
1980-10-7,0,1.832083613,0.4814,360.35,17.98,4.94,875.41
1980-10-8,0,1.98556247,0.4248,362.27,21.23,7.39,1031.38
1980-10-9,0,2.08744934,0.3681,337.78,23.43,10.76,1300.66
1980-10-10,3.63,1.823489871,0.3964,237.57,19.62,8.56,1125.15
1980-10-11,4.33,1.970773942,0.4814,236.13,22.7,11.26,1340.6
1980-10-12,0,1.650237185,0.538,319.63,17.5,6.41,952.59
1980-10-13,0,1.445498216,0.4531,300.57,14,4.13,813.94
1980-10-14,0,1.400740923,0.3681,329.36,13.5,2.03,719.41
1980-10-15,0,1.62256336,0.3681,350.27,18.94,5,880.25
1980-10-16,0,1.767388797,0.3681,350.72,22.55,7.5,1040.06
1980-10-17,0,1.851170579,0.3115,320.87,24.21,11.01,1320.67
1980-10-18,21.36,1.767797359,0.3115,183.62,23.36,14.36,1628.79
1980-10-19,13.38,1.56067387,0.7929,174.13,20.11,12,1400
1980-10-20,0,1.393229313,0.7362,279.5,16.79,6.76,980.83
1980-10-21,0,1.482921052,0.623,344.63,20.5,5,879.6
1980-10-22,0,1.384582126,0.5663,304.57,18,6,920.03
1980-10-23,0,1.16262947,0.538,316.93,13.49,0.85,640
1980-10-24,0,1.175366791,0.538,278.68,14,3.53,800
1980-10-25,44.77,1.338685603,2.1804,208.93,18.66,7.45,1036.11
1980-10-26,0,1.060905878,2.8034,211.45,12,4.5,840
1980-10-27,0,0.988617796,2.0954,247.87,10.5,1.5,680
1980-10-28,5.04,1.087425888,1.2743,169.62,13.81,5.7,920
1980-10-29,0,0.978059631,1.1893,260.84,11.45,1.77,701.33
1980-10-30,0,0.954258423,0.9628,269.73,11.5,1.15,651.95
1980-10-31,0,0.98670457,0.8212,322.43,15.5,-0.15,600
1980-11-1,0,1.02896335,0.7929,285,15.77,3.27,781.93
1980-11-2,0,0.883406518,0.7362,283.79,11.97,-0.41,600
1980-11-3,0,0.815163002,0.7079,313.61,12.24,-3.5,480
1980-11-4,12.97,1.007071324,0.7646,137.98,15.34,8.01,1080.6
1980-11-5,9.62,0.879613103,1.2743,176.22,12.63,2.85,748.26
1980-11-6,0,0.746102073,1.0477,294.03,11,-3.21,480
1980-11-7,0,0.955744724,0.8495,261.99,17.5,5.24,898.83
1980-11-8,0.26,1.048497976,0.7646,251.44,20.5,8.5,1120
1980-11-9,2,0.899253261,0.7646,285.99,19.58,4.1,815.44
1980-11-10,0,0.832645855,0.7646,246.31,15.1,3.62,800
1980-11-11,0,0.685870746,0.6513,175.92,8,0.87,640
1980-11-12,0,0.672034102,0.6513,177.89,8,0.75,640
1980-11-13,0,0.709819166,0.6513,269.31,14.5,0.74,640
1980-11-14,0,0.8337044,0.623,260.33,19.5,5.74,920
1980-11-15,0,0.768112924,0.623,180.8,13.5,5.74,920
1980-11-16,0.01,0.611291281,0.623,206.63,8.42,-0.42,600
1980-11-17,0,0.524094169,0.623,255.87,7.71,-4.76,440
1980-11-18,14.82,0.600004611,1.5008,124.63,7.74,0.75,640
1980-11-19,0,0.534020125,1.4442,191.27,5.94,-2.28,520
1980-11-20,0,0.487411429,1.0194,254.28,8.02,-4.7,440
1980-11-21,0,0.480463213,0.8778,263.56,10,-4.18,440
1980-11-22,0,0.532650272,0.8212,235.14,10.5,-1,560
1980-11-23,0,0.452614735,0.7929,255.35,9.16,-4.5,440
1980-11-24,9.95,0.635190601,0.8495,134.44,13.03,4.79,863.04
1980-11-25,11.76,0.590748336,1.2743,146.15,12.5,3.28,782.32
1980-11-26,0,0.489536944,0.9628,204.35,8.5,-1.19,560
1980-11-27,0.99,0.461329161,0.7646,205.23,7.6,-2.26,520
1980-11-28,15.76,0.575313945,1.076,145.37,13.46,3.97,801.52
1980-11-29,0,0.513429209,1.1327,150.27,8,1.26,660.55
1980-11-30,0,0.496336315,0.8212,186.74,9.58,0.87,640
1980-12-1,0,0.532849573,0.7079,228.98,17,4.24,819.22
1980-12-2,0,0.557538743,0.6796,205.14,15.5,5,880.19
1980-12-3,1,0.451607639,0.5947,213.72,11,0.22,617.61
1980-12-4,0,0.386525843,0.538,181.91,4,-4.3,440
1980-12-5,0,0.373036822,0.538,201.37,5.08,-4.53,440
1980-12-6,0,0.363657514,0.5663,232.91,9.5,-3.17,480
1980-12-7,0,0.410260975,0.5663,228.1,12.99,0.38,630.51
1980-12-8,0,0.507467796,0.5663,223.83,19,5.87,920
1980-12-9,2,0.53665085,0.5663,199.45,16.65,6.21,936.96
1980-12-10,0,0.453657457,0.5947,192.61,11.45,2,720
1980-12-11,0,0.393249255,0.5663,148.6,4,-2.56,515.24
1980-12-12,0,0.381236167,0.538,189.18,6.85,-2.25,520
1980-12-13,0,0.390148555,0.5097,226.44,13.76,1,640
1980-12-14,0,0.293591062,0.5097,240.38,9.5,-4.75,440
1980-12-15,0,0.293104289,0.4814,220.71,4.34,-7.31,359.6
1980-12-16,3,0.431814943,0.5663,93.04,5.65,0.13,616.6
1980-12-17,0,0.290529197,0.623,212.68,2.72,-8,320
1980-12-18,0,0.223531148,0.538,250.45,5.52,-10.5,280
1980-12-19,0,0.29811116,0.5097,223.86,6.68,-5.77,400
1980-12-20,0,0.251453549,0.4814,208.18,-1.5,-12.03,240
1980-12-21,0,0.248063701,0.4248,199.59,-3,-12.7,240
1980-12-22,0,0.218437688,0.4248,244.87,0.9,-13.72,200
1980-12-23,6.84,0.29999853,0.5097,158.88,0.94,-8.12,320
1980-12-24,4,0.33936703,0.5947,149.58,3.17,-5.26,419.22
1980-12-25,0,0.205893143,0.623,278.36,-0.76,-15.97,168.88
1980-12-26,0,0.20821626,0.4814,260.87,-4.32,-17.18,160
1980-12-27,0,0.279822979,0.4531,233.5,0.69,-9.96,280
1980-12-28,0,0.403121737,0.5097,196.64,7.19,-1.36,559.46
1980-12-29,0.28,0.48346044,0.5947,138.93,8.09,2.38,720
1980-12-30,0,0.399512058,0.623,184.08,7,-1.92,526.09
1980-12-31,0.14,0.446896379,0.5663,161.51,7.55,0.23,623.05
1981-1-1,0,0.36599238,0.5097,140.06,-0.16,-5.2,424.2
1981-1-2,0,0.360279329,0.5097,206.97,2.57,-5.46,402.9
1981-1-3,0,0.306880462,0.4814,253.7,1.7,-9.22,302.16
1981-1-4,0,0.272898114,0.4531,255.17,-2.01,-12.81,240
1981-1-5,0,0.277869693,0.3681,252.16,-2.28,-12.76,240
1981-1-6,0,0.267408134,0.3964,293.88,2.1,-13,240
1981-1-7,5.61,0.358886279,0.5097,189.25,3.7,-6.8,360
1981-1-8,0,0.288907644,0.5097,264.05,-2,-12.99,228.97
1981-1-9,0,0.258490771,0.4531,287.38,-3.44,-16.41,160
1981-1-10,0,0.317041284,0.4248,215.03,-3.37,-11.22,262.25
1981-1-11,0,0.285902456,0.3964,239.12,-5.25,-14.24,200
1981-1-12,0,0.252828641,0.3964,237.13,-8.5,-17.25,160
1981-1-13,0,0.256739695,0.3964,288.81,-6.21,-18.5,148.73
1981-1-14,0,0.333586035,0.4248,307.56,2.53,-12.27,240
1981-1-15,2.98,0.413064046,0.4531,202.57,3.5,-7.16,360
1981-1-16,0.26,0.458412877,0.4814,137.25,1,-3.5,480
1981-1-17,2.1,0.393460391,0.5097,184.16,-1.96,-8.27,320
1981-1-18,0,0.350143723,0.538,275.57,-2.49,-13,228.45
1981-1-19,0,0.457022408,0.4531,295.38,5.3,-6.98,360
1981-1-20,0,0.557278339,0.4531,252.48,7.49,-1.77,539.77
1981-1-21,0,0.526914498,0.4531,209.5,4,-3.05,480
1981-1-22,0,0.47401776,0.4248,326.81,6.97,-8.35,320
1981-1-23,0,0.574039899,0.4248,221.11,5.5,-1.94,524.42
1981-1-24,0,0.581442795,0.4248,217.74,5.24,-2,520.04
